"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
1,CNEY,1.38,1.0999,"392.6812%",337456349,top_gainers,2024-09-12 08:56:59.603
2,MSAIW,0.0603,0.0388,"180.4651%",56616,top_gainers,2024-09-12 08:56:59.646
3,FTCI,0.4529,0.2278,"101.1995%",280927805,top_gainers,2024-09-12 08:56:59.681
4,HSPOW,0.034,0.0171,"101.1834%",31519,top_gainers,2024-09-12 08:56:59.712
5,UKOMW,0.0098,0.0048,"96.0%",66362,top_gainers,2024-09-12 08:56:59.747
6,EVE+,0.0483,0.0223,"85.7692%",203,top_gainers,2024-09-12 08:56:59.776
7,PLCE,9.1,4.2,"85.7143%",72831174,top_gainers,2024-09-12 08:56:59.813
8,SPI,0.54,0.2406,"80.3607%",9427427,top_gainers,2024-09-12 08:56:59.852
9,ENGNW,1.41,0.61,"76.25%",102602,top_gainers,2024-09-12 08:56:59.886
10,BCTXW,0.22,0.09,"69.2308%",47243,top_gainers,2024-09-12 08:56:59.923
11,SABSW,0.0431,0.0163,"60.8209%",1000,top_gainers,2024-09-12 08:56:59.959
12,DAVEW,0.0412,0.015,"57.2519%",77846,top_gainers,2024-09-12 08:56:59.997
13,BFLY+,0.1089,0.0389,"55.5714%",227290,top_gainers,2024-09-12 08:57:00.043
14,CINGW,0.0654,0.0233,"55.3444%",1034968,top_gainers,2024-09-12 08:57:00.080
15,XBPEW,0.029,0.0103,"55.0802%",71,top_gainers,2024-09-12 08:57:00.113
16,SNAXW,0.0054,0.0019,"54.2857%",4468,top_gainers,2024-09-12 08:57:00.156
17,PCTTW,1.9,0.66,"53.2258%",38443,top_gainers,2024-09-12 08:57:00.190
18,PTIXW,0.0145,0.0045,"45.0%",51534,top_gainers,2024-09-12 08:57:00.226
19,ADD,0.9425,0.2924,"44.9777%",3680699,top_gainers,2024-09-12 08:57:00.259
20,SHOTW,0.45,0.1389,"44.648%",2125,top_gainers,2024-09-12 08:57:00.296
21,BFIIW,0.007,-0.0155,-68.8889%,402285,top_losers,2024-09-12 08:57:00.323
22,HLLY+,0.087,-0.1131,-56.5217%,22082,top_losers,2024-09-12 08:57:00.351
23,APCXW,0.1302,-0.1672,-56.2206%,1428,top_losers,2024-09-12 08:57:00.388
24,TBIO,1.7,-2.1,-55.2632%,237290,top_losers,2024-09-12 08:57:00.422
25,LUCYW,0.0311,-0.0278,-47.1986%,14903,top_losers,2024-09-12 08:57:00.451
26,SURGW,0.0159,-0.0141,-47.0%,25454,top_losers,2024-09-12 08:57:00.487
27,PLMIW,0.035,-0.0277,-44.1786%,24800,top_losers,2024-09-12 08:57:00.515
28,SES+,0.0349,-0.025,-41.7362%,59243,top_losers,2024-09-12 08:57:00.550
29,ALUR+,0.0353,-0.0246,-41.0684%,69049,top_losers,2024-09-12 08:57:00.586
30,LASE,5.41,-3.74,-40.8743%,4143720,top_losers,2024-09-12 08:57:00.617
31,CREVW,0.0301,-0.0197,-39.5582%,33108,top_losers,2024-09-12 08:57:00.646
32,ATMCW,0.0147,-0.0088,-37.4468%,9900,top_losers,2024-09-12 08:57:00.682
33,BRLSW,0.0643,-0.0364,-36.147%,500,top_losers,2024-09-12 08:57:00.720
34,MDJH,0.7074,-0.3826,-35.1009%,504793,top_losers,2024-09-12 08:57:00.754
35,MTEKW,0.09,-0.046,-33.8235%,2658,top_losers,2024-09-12 08:57:00.789
36,PNST+,0.0261,-0.0128,-32.9049%,60463,top_losers,2024-09-12 08:57:00.817
37,PROCW,0.0199,-0.0096,-32.5424%,100,top_losers,2024-09-12 08:57:00.851
38,WENAW,0.0302,-0.0144,-32.287%,7915,top_losers,2024-09-12 08:57:00.884
39,NOVVR,0.16,-0.071,-30.7359%,275620,top_losers,2024-09-12 08:57:00.918
40,NTRBW,0.9,-0.39,-30.2326%,3,top_losers,2024-09-12 08:57:00.957
41,NVDA,116.78,8.68,"8.0296%",431428099,most_actively_traded,2024-09-12 08:57:00.995
42,CNEY,1.38,1.0999,"392.6812%",337456349,most_actively_traded,2024-09-12 08:57:01.030
43,FTCI,0.4529,0.2278,"101.1995%",280927805,most_actively_traded,2024-09-12 08:57:01.063
44,SQQQ,8.535,-0.585,-6.4145%,263411423,most_actively_traded,2024-09-12 08:57:01.092
45,TANH,0.18,0.0416,"30.0578%",215598706,most_actively_traded,2024-09-12 08:57:01.128
46,BCTX,0.64,0.0201,"3.2425%",166563490,most_actively_traded,2024-09-12 08:57:01.163
47,SOXL,32.23,3.88,"13.6861%",140597685,most_actively_traded,2024-09-12 08:57:01.191
48,QH,1.65,0.32,"24.0602%",116677862,most_actively_traded,2024-09-12 08:57:01.211
49,MULN,0.175,0.0339,"24.0255%",114682491,most_actively_traded,2024-09-12 08:57:01.238
50,TSLA,228.205,2.035,"0.8998%",82885435,most_actively_traded,2024-09-12 08:57:01.274
51,TQQQ,64.72,4.02,"6.6227%",80736584,most_actively_traded,2024-09-12 08:57:01.307
52,SOXS,24.21,-3.86,-13.7513%,79865389,most_actively_traded,2024-09-12 08:57:01.335
53,SPY,554.425,5.635,"1.0268%",73818609,most_actively_traded,2024-09-12 08:57:01.362
54,PLCE,9.1,4.2,"85.7143%",72831174,most_actively_traded,2024-09-12 08:57:01.391
55,NVD,1.88,-0.37,-16.4444%,72371859,most_actively_traded,2024-09-12 08:57:01.428
56,HPE,16.405,0.305,"1.8944%",69445993,most_actively_traded,2024-09-12 08:57:01.467
57,INTC,19.655,0.675,"3.5564%",69411109,most_actively_traded,2024-09-12 08:57:01.513
58,MAXN,0.091,0.011,"13.75%",68453976,most_actively_traded,2024-09-12 08:57:01.542
59,PLTR,34.85,0.09,"0.2589%",67718253,most_actively_traded,2024-09-12 08:57:01.576
60,SPXS,7.47,-0.24,-3.1128%,64400781,most_actively_traded,2024-09-12 08:57:01.607
61,CURIW,0.0379,0.0226,"147.7124%",4480,top_gainers,2024-09-13 08:01:02.377
62,EGIO,2.14,1.1615,"118.7021%",105467982,top_gainers,2024-09-13 08:01:02.463
63,GV,4.42,2.39,"117.734%",45597392,top_gainers,2024-09-13 08:01:02.501
64,ZEOWW,0.0594,0.0294,"98.0%",121,top_gainers,2024-09-13 08:01:02.536
65,OBLG,6.54,3.15,"92.9204%",33484238,top_gainers,2024-09-13 08:01:02.572
66,LUCYW,0.0579,0.0268,"86.1736%",400,top_gainers,2024-09-13 08:01:02.606
67,CYTHW,0.125,0.055,"78.5714%",100,top_gainers,2024-09-13 08:01:02.641
68,COOTW,0.0284,0.0123,"76.3975%",50,top_gainers,2024-09-13 08:01:02.671
69,ISPOW,0.0255,0.0106,"71.1409%",7023,top_gainers,2024-09-13 08:01:02.708
70,SBEV+,0.0371,0.0149,"67.1171%",710,top_gainers,2024-09-13 08:01:02.746
71,MNPR,3.95,1.55,"64.5833%",40814571,top_gainers,2024-09-13 08:01:02.782
72,KACLR,0.1468,0.0568,"63.1111%",55,top_gainers,2024-09-13 08:01:02.818
73,HYAC+,0.1742,0.0641,"58.2198%",715539,top_gainers,2024-09-13 08:01:02.856
74,LEV+,0.0199,0.0073,"57.9365%",10000,top_gainers,2024-09-13 08:01:02.887
75,TIL,46.46,16.81,"56.6948%",1857002,top_gainers,2024-09-13 08:01:02.923
76,CLDI+,0.03,0.0099,"49.2537%",2950,top_gainers,2024-09-13 08:01:02.961
77,GRRRW,0.0423,0.0137,"47.9021%",114928,top_gainers,2024-09-13 08:01:02.992
78,MNTX,5.63,1.82,"47.769%",5691426,top_gainers,2024-09-13 08:01:03.025
79,TNON,4.4,1.37,"45.2145%",37037154,top_gainers,2024-09-13 08:01:03.063
80,DHAIW,0.0505,0.0156,"44.6991%",1618,top_gainers,2024-09-13 08:01:03.091
81,NNAGW,0.0025,-0.0355,-93.4211%,307230,top_losers,2024-09-13 08:01:03.127
82,NNAGR,0.0036,-0.0466,-92.8287%,430387,top_losers,2024-09-13 08:01:03.162
83,RYDE,2.025,-11.085,-84.5538%,25768328,top_losers,2024-09-13 08:01:03.188
